original,corrected
-SWĪÞEDLIC,-SWĪÞEDLIC
-belig,-belig
-biesgian,-biesgian
-blācigan,-blācigan
-bysgian,-bysgian
-bīsgian,-bīsgian
-cymþ,-cymþ
-cyþedness,-cyþedness
-cȳðð,-cȳðð
-eāgede,-eāgede
-feorhlic,-feorhlic
-flōwedlic,-flōwedlic
-flōwendlic,-flōwendlic
-frige,-frige
-gealla,-gealla
-gearwa,-gearwa
-gehrēfa,-gehrēfa
-gelda,-gelda
-geotol,-geotol
-gern,-gern
-gietan,-gietan
-gifen-,-gifen-
-gilda,-gilda
-gymmed,-gymmed
-gytan,-gytan
-gīman,-gīman
-healdlic,-healdlic
-hygidlic,-hygidlic
-hīwendlic,-hīwendlic
-hȳdig,-hȳdig
-igend,-igend
-ligere,-ligere
-liorendlīc,-liorendlīc
-lēpig,-lēpig
-līfendlic,-līfendlic
-lǣce,-lǣce
-risenlīce,-risenlīce
-sceōtendlic,-sceōtendlic
-seofuntig,-seofuntig
-sigefæstnian,-sigefæstnian
-sprecel,-sprecel
-strenged,-strenged
-strongian,-strongian
-tergian,-tergian
-tige,-tige
-tinges,-tinges
-winnfullīc,-winnfullīc
-wæg,-wæg
-wīg,-wīg
BORGIAN,BORGIAN
BRECENDLIC,BRECENDLIC
BRȲCE,BRȲCE
Burgenda,Burgenda
CEORL,CEORL
CITELIAN,CITELIAN
Ceaster-scīr,Ceaster-scīr
Cent-rīce,Cent-rīce
Cerdices,Cerdices
Certices,Certices
Creācisc,Creācisc
Cynewulf,Cynewulf
CĪÞ,CĪÞ
EFENLĪCE,EFENLĪCE
Efer-wīc,Efer-wīc
EĀG-GEMEARC,EĀG-GEMEARC
FLEŌGE,FLEŌGE
FOR-ÞYLDIGIAN,FOR-ÞYLDIGIAN
FRANC-RĪCE,FRANC-RĪCE
FRECEO,FRECEO
GE-SCRENCEDNES,GE-SCRENCEDNES
GEARD,GEARD
GEARO,GEARO
GENGE,GENGE
GEONG,GEONG
GEĀ,GEĀ
GEŌ,GEŌ
GICEL,GICEL
GYRN-WRACU,GYRN-WRACU
Geangsumod,Geangsumod
Genihtlīce,Geniht-līce
Genycthlīce,Genycth-līce
GȲME,GȲME
HEGE,HEGE
HEĀÐU-SIGEL,HEĀÐU-SIGEL
HRESIGENDE,HRESIGENDE
Horwegstīg,Horwegstīg
L-NIMENDLĪC,L-NIMENDLĪC
Lēcetere,Lēcetere
LǢCE,LǢCE
LǢCE-HŪS,LǢCE-HŪS
Medu-wæge,Medu-wæge
MÆGEN-EĀCEN,MÆGEN-EĀCEN
MǢG-CYNREN,MǢG-CYNREN
OPENLĪCE,OPENLĪCE
STRANGE,STRANGE
Sadducēisc,Sadducēisc
Sceāp-īg,Sceāp-īg
Sweō-rīce,Sweō-rīce
Tiig,Tiig
Tīg,Tīg
Uuālȳfendlīce,Uuālȳfendlīce
WORD-GERȲNE,WORD-GERȲNE
WÆCCENDLĪCE,WÆCCENDLĪCE
WÆGEN,WÆGEN
ace,ace
agēn-gehweorfan,agēn-gehweorfan
an-gildan,an-gildan
an-gin,an-gin
an-tāllīc,an-tāllīc
andergilde,andergilde
andig,andig
andigende,andigende
ange,ange
anhagie,anhagie
be-briceþ,be-briceþ
be-cēpan,be-cēpan
be-fician,be-fician
be-gēmed,be-gēmed
be-gēton,be-gēton
be-lādiendlic,be-lādiendlic
be-reāfigend,be-reāfigend
be-sprǣcen,be-sprǣcen
be-swungen,be-swungen
be-weddendlic,be-weddendlic
bearn-eācnigende,bearn-eācnigende
belig,belig
beorcen,beorcen
beorm-teāg,beorm-teāg
berige,berige
berigeblæ,berigeblæ
besprecen,besprecen
